,absstatus,brakestatus,closestintersectid,device,elevation,filedate,filetimeutc,fixtypehvgps,gpsorientsemimaj,gpssemimajaxis,gpssemiminaxis,gpsspeed,heading,headlamp,key,latitude,localtimems,longaccel,longitude,speed,stabilitycontrolstatus,steerangle,throttlepospct,traccontrolstatus,transstate,turnsignal,uuid,wiper,yawrate
0,-1,-1,0,100625,182.55,20200601,10440,1,34.0,1.7,1.4,0.00925,0.0,-1,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODgwNzQyfQ==,39.60894085663562,3880742,1000.0,-82.93425405266359,1000.0,-1,1000.0,-56,-1,-1,-1,ec5c6e631a9730493d0b6c36c0db98c6,-1,1000.0
1,-1,-1,0,100625,182.55,20200601,10440,1,33.0,1.7,1.4,0.03288889,0.0,-1,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODgxMjQyfQ==,39.60894085663562,3881242,1000.0,-82.93425405266359,1000.0,-1,1000.0,-56,-1,-1,-1,b275307d6d3e9b4ef38a9a23c932b21b,-1,1000.0
2,-1,-1,0,100625,182.55,20200601,10440,1,32.0,1.6,1.3,0.011819445,0.0,-1,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODgxNzQyfQ==,39.60894085663562,3881742,1000.0,-82.93425405266359,1000.0,-1,1000.0,-56,-1,-1,-1,a3662de10d348fe75e797e300926c213,-1,1000.0
3,-1,-1,0,100625,182.55,20200601,10440,1,32.0,1.6,1.3,0.0123333335,0.0,-1,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODgyMjQyfQ==,39.60894085663562,3882242,1000.0,-82.93425405266359,1000.0,-1,1000.0,-56,-1,-1,-1,73f43d646b54c982a139493ccfce777c,-1,1000.0
4,-1,-1,0,100625,182.55,20200601,10440,1,32.0,1.6,1.3,0.01901389,0.0,-1,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODgyNzQyfQ==,39.60894085663562,3882742,1000.0,-82.93425405266359,1000.0,-1,1000.0,-56,-1,-1,-1,e472fd54f3b020eb1ec8965a6e32dfc3,-1,1000.0
5,-1,-1,0,100625,182.55,20200601,10440,1,32.0,1.6,1.3,0.0061666667,0.0,-1,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODgzMjQyfQ==,39.60894085663562,3883242,1000.0,-82.93425405266359,1000.0,-1,1000.0,-56,-1,-1,-1,c63948e5dee04b76709f69e21dc990c9,-1,1000.0
6,-1,-1,0,100625,182.55,20200601,10440,1,32.0,1.5,1.3,0.012847222,0.0,-1,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODgzNzQyfQ==,39.60894085663562,3883742,1000.0,-82.93425405266359,1000.0,-1,1000.0,-56,-1,-1,-1,58a5f665d1ba9b2d03808d61dad39c32,-1,1000.0
7,0,1,0,100625,182.55,20200601,10440,1,32.0,1.5,1.2,0.019527778,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg0MjQyfQ==,39.60894085663562,3884242,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,d42ee03fc53406f3d957ef3a8cd87b43,0,0.24412537
8,0,1,0,100625,182.55,20200601,10440,1,31.0,1.5,1.2,0.027236111,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg0NzQyfQ==,39.60894085663562,3884742,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,7a5e47c448897c8d1df021764278257c,0,0.24412537
9,0,1,0,100625,182.55,20200601,10440,1,31.0,1.5,1.2,0.03340278,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg1MjQyfQ==,39.60894085663562,3885242,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,ea606babc78aaf63cd08b7f0d5b4a913,0,0.24412537
